id,lemma,swedish,english,partOfSpeech,frequencyRank,cefrLevel,packIds,tags,priority,exampleSv,exampleEn,phonetic,audioUrl,notes,normalizedKey,isPhrase,sources
sv_000001,dag,dag,day,noun,1,A1,a1_core,daily_life | common | high_priority,5,Dag används ofta i vardaglig svenska.,Day is often used in everyday Swedish.,,,seed dictionary enrichment,dag|noun,False,"[{""name"": ""seed_backbone"", ""sourceId"": ""seed-00001""}, {""name"": ""seed_dictionary"", ""sourceId"": ""dict-seed-00001""}]"
sv_000002,vecka,vecka,week,noun,2,A1,a1_core,daily_life | common | high_priority,5,Vecka används ofta i vardaglig svenska.,Week is often used in everyday Swedish.,,,seed dictionary enrichment,vecka|noun,False,"[{""name"": ""seed_backbone"", ""sourceId"": ""seed-00002""}, {""name"": ""seed_dictionary"", ""sourceId"": ""dict-seed-00002""}]"
sv_000003,månad,månad,month,noun,3,A1,a1_core,daily_life | common | high_priority,5,Månad används ofta i vardaglig svenska.,Month is often used in everyday Swedish.,,,seed dictionary enrichment,månad|noun,False,"[{""name"": ""seed_backbone"", ""sourceId"": ""seed-00003""}, {""name"": ""seed_dictionary"", ""sourceId"": ""dict-seed-00003""}]"
sv_000004,år,år,year,noun,4,A1,a1_core,daily_life | common | high_priority,5,År används ofta i vardaglig svenska.,Year is often used in everyday Swedish.,,,seed dictionary enrichment,år|noun,False,"[{""name"": ""seed_backbone"", ""sourceId"": ""seed-00004""}, {""name"": ""seed_dictionary"", ""sourceId"": ""dict-seed-00004""}]"
sv_000005,morgon,morgon,morning,noun,5,A1,a1_core,daily_life | common | high_priority,5,Morgon används ofta i vardaglig svenska.,Morning is often used in everyday Swedish.,,,seed dictionary enrichment,morgon|noun,False,"[{""name"": ""seed_backbone"", ""sourceId"": ""seed-00005""}, {""name"": ""seed_dictionary"", ""sourceId"": ""dict-seed-00005""}]"
sv_000006,kväll,kväll,evening,noun,6,A1,a1_core,daily_life | common | high_priority,5,Kväll används ofta i vardaglig svenska.,Evening is often used in everyday Swedish.,,,seed dictionary enrichment,kväll|noun,False,"[{""name"": ""seed_backbone"", ""sourceId"": ""seed-00006""}, {""name"": ""seed_dictionary"", ""sourceId"": ""dict-seed-00006""}]"
sv_000007,tid,tid,time,noun,7,A1,a1_core,daily_life | common | high_priority,5,Tid används ofta i vardaglig svenska.,Time is often used in everyday Swedish.,,,seed dictionary enrichment,tid|noun,False,"[{""name"": ""seed_backbone"", ""sourceId"": ""seed-00007""}, {""name"": ""seed_dictionary"", ""sourceId"": ""dict-seed-00007""}]"
sv_000008,stund,stund,moment,noun,8,A1,a1_core,daily_life | common | high_priority,5,Stund används ofta i vardaglig svenska.,Moment is often used in everyday Swedish.,,,seed dictionary enrichment,stund|noun,False,"[{""name"": ""seed_backbone"", ""sourceId"": ""seed-00008""}, {""name"": ""seed_dictionary"", ""sourceId"": ""dict-seed-00008""}]"
sv_000009,vän,vän,friend,noun,9,A1,a1_core,daily_life | common | high_priority,5,Vän används ofta i vardaglig svenska.,Friend is often used in everyday Swedish.,,,seed dictionary enrichment,vän|noun,False,"[{""name"": ""seed_backbone"", ""sourceId"": ""seed-00009""}, {""name"": ""seed_dictionary"", ""sourceId"": ""dict-seed-00009""}]"
sv_000010,familj,familj,family,noun,10,A1,a1_core,daily_life | common | high_priority,5,Familj används ofta i vardaglig svenska.,Family is often used in everyday Swedish.,,,seed dictionary enrichment,familj|noun,False,"[{""name"": ""seed_backbone"", ""sourceId"": ""seed-00010""}, {""name"": ""seed_dictionary"", ""sourceId"": ""dict-seed-00010""}]"
sv_000011,barn,barn,child,noun,11,A1,a1_core,daily_life | common | high_priority,5,Barn används ofta i vardaglig svenska.,Child is often used in everyday Swedish.,,,seed dictionary enrichment,barn|noun,False,"[{""name"": ""seed_backbone"", ""sourceId"": ""seed-00011""}, {""name"": ""seed_dictionary"", ""sourceId"": ""dict-seed-00011""}]"
sv_000012,person,person,person,noun,12,A1,a1_core,daily_life | common | high_priority,5,Person används ofta i vardaglig svenska.,Person is often used in everyday Swedish.,,,seed dictionary enrichment,person|noun,False,"[{""name"": ""seed_backbone"", ""sourceId"": ""seed-00012""}, {""name"": ""seed_dictionary"", ""sourceId"": ""dict-seed-00012""}]"
sv_000013,stad,stad,city,noun,13,A1,a1_core,daily_life | common | high_priority,5,Stad används ofta i vardaglig svenska.,City is often used in everyday Swedish.,,,seed dictionary enrichment,stad|noun,False,"[{""name"": ""seed_backbone"", ""sourceId"": ""seed-00013""}, {""name"": ""seed_dictionary"", ""sourceId"": ""dict-seed-00013""}]"
sv_000014,gata,gata,street,noun,14,A1,a1_core,daily_life | common | high_priority,5,Gata används ofta i vardaglig svenska.,Street is often used in everyday Swedish.,,,seed dictionary enrichment,gata|noun,False,"[{""name"": ""seed_backbone"", ""sourceId"": ""seed-00014""}, {""name"": ""seed_dictionary"", ""sourceId"": ""dict-seed-00014""}]"
sv_000015,plats,plats,place,noun,15,A1,a1_core,daily_life | common | high_priority,5,Plats används ofta i vardaglig svenska.,Place is often used in everyday Swedish.,,,seed dictionary enrichment,plats|noun,False,"[{""name"": ""seed_backbone"", ""sourceId"": ""seed-00015""}, {""name"": ""seed_dictionary"", ""sourceId"": ""dict-seed-00015""}]"
sv_000016,hem,hem,home,noun,16,A1,a1_core,daily_life | common | high_priority,5,Hem används ofta i vardaglig svenska.,Home is often used in everyday Swedish.,,,seed dictionary enrichment,hem|noun,False,"[{""name"": ""seed_backbone"", ""sourceId"": ""seed-00016""}, {""name"": ""seed_dictionary"", ""sourceId"": ""dict-seed-00016""}]"
sv_000017,hus,hus,house,noun,17,A1,a1_core,daily_life | common | high_priority,5,Hus används ofta i vardaglig svenska.,House is often used in everyday Swedish.,,,seed dictionary enrichment,hus|noun,False,"[{""name"": ""seed_backbone"", ""sourceId"": ""seed-00017""}, {""name"": ""seed_dictionary"", ""sourceId"": ""dict-seed-00017""}]"
sv_000018,rum,rum,room,noun,18,A1,a1_core,daily_life | common | high_priority,5,Rum används ofta i vardaglig svenska.,Room is often used in everyday Swedish.,,,seed dictionary enrichment,rum|noun,False,"[{""name"": ""seed_backbone"", ""sourceId"": ""seed-00018""}, {""name"": ""seed_dictionary"", ""sourceId"": ""dict-seed-00018""}]"
sv_000019,bord,bord,table,noun,19,A1,a1_core,daily_life | common | high_priority,5,Bord används ofta i vardaglig svenska.,Table is often used in everyday Swedish.,,,seed dictionary enrichment,bord|noun,False,"[{""name"": ""seed_backbone"", ""sourceId"": ""seed-00019""}, {""name"": ""seed_dictionary"", ""sourceId"": ""dict-seed-00019""}]"
sv_000020,stol,stol,chair,noun,20,A1,a1_core,daily_life | common | high_priority,5,Stol används ofta i vardaglig svenska.,Chair is often used in everyday Swedish.,,,seed dictionary enrichment,stol|noun,False,"[{""name"": ""seed_backbone"", ""sourceId"": ""seed-00020""}, {""name"": ""seed_dictionary"", ""sourceId"": ""dict-seed-00020""}]"
sv_000021,bok,bok,book,noun,21,A1,a1_core,daily_life | common | high_priority,5,Bok används ofta i vardaglig svenska.,Book is often used in everyday Swedish.,,,seed dictionary enrichment,bok|noun,False,"[{""name"": ""seed_backbone"", ""sourceId"": ""seed-00021""}, {""name"": ""seed_dictionary"", ""sourceId"": ""dict-seed-00021""}]"
